,date,avg_equity,avg_debt,avg_hybrid,index_nrml
525,2020-11-06,13.8,27.23,14.97,4.99
526,2020-11-09,14.35,27.1,15.94,6.68
527,2020-11-10,12.73,26.9,16.3,8.14
528,2020-11-11,13.57,26.93,16.95,9.15
529,2020-11-12,14.43,26.95,16.86,8.65
530,2020-11-13,15.2,27.15,17.16,8.9
531,2020-11-17,16.79,27.26,18.23,10.22
532,2020-11-18,17.09,27.27,18.67,10.77
533,2020-11-19,16.77,27.32,17.85,9.34
534,2020-11-20,17.46,27.4,18.73,10.09
535,2020-11-23,18.92,27.38,19.32,10.67
536,2020-11-24,19.67,27.49,20.11,11.77
537,2020-11-25,18.26,27.57,19.25,10.08
538,2020-11-26,19.03,27.74,19.93,11.19
539,2020-11-27,20.36,27.48,20.29,11.03
540,2020-12-01,22.38,27.44,21.3,12.23
541,2020-12-02,23.37,27.45,21.31,12.27
542,2020-12-03,24.08,27.46,21.66,12.44
543,2020-12-04,24.54,27.71,22.48,13.51
544,2020-12-07,26.39,27.62,23.21,14.34
545,2020-12-08,26.22,27.53,23.21,14.66
546,2020-12-09,26.27,27.66,23.66,15.83
547,2020-12-10,26.23,27.67,23.18,15.39
548,2020-12-11,26.45,27.47,23.32,15.7
549,2020-12-14,26.72,27.53,23.72,16.08
550,2020-12-15,26.77,27.59,23.61,16.16
551,2020-12-16,27.47,27.6,24.14,17.14
552,2020-12-17,27.47,27.6,24.43,17.64
553,2020-12-18,27.72,27.53,24.58,17.81
554,2020-12-21,22.92,27.53,22.13,14.11
555,2020-12-22,24.63,27.6,22.77,15.29
556,2020-12-23,27.37,27.63,23.78,16.44
557,2020-12-24,28.01,27.65,24.57,17.71
558,2020-12-28,29.96,27.86,25.28,18.77
559,2020-12-29,30.22,27.83,25.62,19.28
560,2020-12-30,30.34,27.92,25.83,19.7
561,2020-12-31,30.47,28.01,25.92,19.7
562,2021-01-01,31.56,28.05,26.38,20.02
563,2021-01-04,33.01,28.33,27.23,21.0
564,2021-01-05,34.02,28.39,27.87,21.57
565,2021-01-06,34.59,28.22,27.81,21.11
566,2021-01-07,34.84,28.24,28.16,21.03
567,2021-01-08,37.13,28.2,29.11,22.83
568,2021-01-11,37.7,28.01,29.51,24.01
569,2021-01-12,37.81,27.95,29.84,24.68
570,2021-01-13,37.85,27.87,29.79,24.69
571,2021-01-14,38.63,27.94,29.97,24.96
572,2021-01-15,38.2,27.8,29.03,23.57
573,2021-01-18,35.56,27.88,27.95,22.27
574,2021-01-19,37.26,27.95,29.11,24.32
575,2021-01-20,38.2,27.98,29.62,25.38
576,2021-01-21,36.8,27.93,29.27,24.91
577,2021-01-22,35.39,27.97,28.39,23.04
578,2021-01-25,34.21,27.98,27.98,21.9
579,2021-01-27,31.75,28.01,26.9,19.58
580,2021-01-28,31.84,28.05,26.46,18.3
581,2021-01-29,31.66,28.04,25.8,16.73
582,2021-02-01,34.46,27.31,28.14,22.27
583,2021-02-02,36.52,27.02,30.05,25.4
584,2021-02-03,38.99,27.17,31.13,26.62
585,2021-02-04,39.7,27.3,32.23,27.53
586,2021-02-05,38.72,27.09,32.39,27.77
587,2021-02-08,40.47,27.21,33.8,29.41
588,2021-02-09,41.31,27.04,33.58,29.35
589,2021-02-10,42.21,27.18,33.77,29.33
590,2021-02-11,43.63,27.36,34.04,29.9
591,2021-02-12,43.28,27.31,34.09,29.82
592,2021-02-15,43.69,27.16,34.95,31.11
593,2021-02-16,44.29,27.15,34.78,31.1
594,2021-02-17,45.0,27.06,34.56,30.21
595,2021-02-18,46.28,26.85,34.29,29.44
596,2021-02-22,42.98,26.7,31.71,25.64
597,2021-02-23,44.13,26.73,32.18,25.92
598,2021-02-24,44.94,26.76,33.38,28.27
599,2021-02-25,47.22,26.67,34.07,29.25
600,2021-02-26,45.41,26.47,31.98,24.39
601,2021-03-01,47.77,26.65,33.19,26.38
602,2021-03-02,49.96,26.72,34.13,27.73
603,2021-03-03,51.18,26.63,35.48,30.52
604,2021-03-04,51.37,26.71,35.11,29.11
605,2021-03-05,49.22,26.5,34.27,27.89
606,2021-03-08,49.9,26.5,34.52,28.04
607,2021-03-09,49.55,26.4,34.79,29.26
608,2021-03-10,50.75,26.4,35.29,29.92
609,2021-03-12,50.56,26.19,34.71,28.68
610,2021-03-15,50.09,26.27,34.23,27.82
611,2021-03-16,50.53,26.4,34.16,27.65
612,2021-03-17,48.26,26.41,32.9,26.03
613,2021-03-18,46.78,26.4,31.91,24.63
614,2021-03-19,49.05,26.79,32.77,26.23
615,2021-03-22,50.36,27.1,32.98,26.16
616,2021-03-23,51.03,27.34,33.62,26.83
617,2021-03-24,48.48,27.44,32.23,24.56
618,2021-03-25,45.71,27.44,31.27,22.64
619,2021-03-26,47.46,27.54,32.28,24.2
620,2021-03-30,49.77,27.49,33.91,27.09
621,2021-03-31,50.05,27.39,33.69,25.77
622,2021-04-05,53.17,27.8,33.46,25.32
623,2021-04-06,54.6,27.91,33.66,25.71
624,2021-04-07,56.77,27.99,34.7,26.87
625,2021-04-08,58.44,28.17,35.14,27.34
626,2021-04-09,59.28,28.15,35.12,27.01
627,2021-04-12,52.84,28.18,32.1,22.52
628,2021-04-15,53.93,28.04,33.44,24.84
629,2021-04-16,56.12,28.01,33.79,25.15
630,2021-04-19,54.08,28.09,32.63,22.94
631,2021-04-20,55.4,28.06,32.66,22.4
632,2021-04-22,57.05,28.25,33.2,23.34
633,2021-04-23,56.94,28.34,32.92,22.78
634,2021-04-26,58.42,28.55,33.66,24.01
635,2021-04-27,61.59,28.6,34.63,25.45
